step,loss,lr
1,1.3986,1.0000000000000001e-07
500,1.3893,5e-05
1000,1.3801,0.0001
1500,1.3765,9.94949494949495e-05
2000,1.3693,9.8989898989899e-05
2500,1.3648,9.848484848484849e-05
3000,1.3544,9.797979797979798e-05
3500,1.3497,9.747474747474747e-05
4000,1.3427,9.696969696969698e-05
4500,1.3421,9.646464646464647e-05
5000,1.3358,9.595959595959596e-05
5500,1.3389,9.545454545454546e-05
6000,1.3296,9.494949494949495e-05
6500,1.3304,9.444444444444444e-05
7000,1.327,9.393939393939395e-05
7500,1.3231,9.343434343434344e-05
8000,1.3244,9.292929292929293e-05
8500,1.3238,9.242424242424242e-05
9000,1.3135,9.191919191919192e-05
9500,1.3118,9.141414141414141e-05
10000,1.3133,9.090909090909092e-05
10500,1.3075,9.040404040404041e-05
11000,1.3117,8.98989898989899e-05
11500,1.3031,8.93939393939394e-05
12000,1.3053,8.888888888888889e-05
12500,1.2998,8.83838383838384e-05
13000,1.3005,8.787878787878789e-05
13500,1.2998,8.737373737373738e-05
14000,1.2952,8.686868686868688e-05
14500,1.2904,8.636363636363637e-05
15000,1.3016,8.585858585858586e-05
15500,1.2812,8.535353535353535e-05
16000,1.2972,8.484848484848486e-05
16500,1.2879,8.434343434343435e-05
17000,1.2869,8.383838383838384e-05
17500,1.2894,8.333333333333334e-05
18000,1.2913,8.282828282828283e-05
18500,1.2851,8.232323232323233e-05
19000,1.2962,8.181818181818183e-05
19500,1.2797,8.131313131313132e-05
20000,1.2913,8.080808080808081e-05
20500,1.2807,8.03030303030303e-05
21000,1.2799,7.97979797979798e-05
21500,1.2757,7.92929292929293e-05
22000,1.2785,7.878787878787879e-05
22500,1.2737,7.828282828282829e-05
23000,1.275,7.777777777777778e-05
23500,1.2721,7.727272727272727e-05
24000,1.2788,7.676767676767676e-05
24500,1.2726,7.626262626262627e-05
25000,1.2674,7.575757575757576e-05
25500,1.2798,7.525252525252525e-05
26000,1.2577,7.474747474747475e-05
26500,1.267,7.424242424242424e-05
27000,1.2728,7.373737373737373e-05
27500,1.2671,7.323232323232324e-05
28000,1.2597,7.272727272727273e-05
28500,1.2667,7.222222222222222e-05
29000,1.2568,7.171717171717171e-05
29500,1.2637,7.121212121212121e-05
30000,1.2512,7.07070707070707e-05
30500,1.2644,7.020202020202021e-05
31000,1.2622,6.96969696969697e-05
31500,1.2594,6.91919191919192e-05
32000,1.2517,6.86868686868687e-05
32500,1.2534,6.818181818181818e-05
33000,1.2547,6.767676767676769e-05
33500,1.2543,6.717171717171718e-05
34000,1.2549,6.666666666666667e-05
34500,1.2536,6.616161616161617e-05
35000,1.2577,6.565656565656566e-05
35500,1.2544,6.515151515151516e-05
36000,1.2496,6.464646464646466e-05
36500,1.2526,6.414141414141415e-05
37000,1.2464,6.363636363636364e-05
37500,1.2514,6.313131313131313e-05
38000,1.2394,6.262626262626264e-05
38500,1.2517,6.212121212121213e-05
39000,1.2512,6.161616161616162e-05
39500,1.245,6.111111111111112e-05
40000,1.2533,6.060606060606061e-05
40500,1.241,6.01010101010101e-05
41000,1.243,5.959595959595959e-05
41500,1.2414,5.90909090909091e-05
42000,1.2334,5.858585858585859e-05
42500,1.2438,5.808080808080808e-05
43000,1.2389,5.757575757575758e-05
43500,1.2431,5.707070707070707e-05
44000,1.2301,5.6565656565656563e-05
44500,1.2497,5.606060606060606e-05
45000,1.2299,5.555555555555556e-05
45500,1.2439,5.5050505050505056e-05
46000,1.2443,5.4545454545454546e-05
46500,1.2262,5.4040404040404044e-05
47000,1.2314,5.353535353535354e-05
47500,1.2247,5.303030303030303e-05
48000,1.2352,5.2525252525252536e-05
48500,1.2393,5.2020202020202026e-05
49000,1.2333,5.151515151515152e-05
49500,1.2276,5.101010101010101e-05
50000,1.2238,5.050505050505051e-05
50500,1.2314,5e-05
51000,1.2214,4.94949494949495e-05
51500,1.2146,4.898989898989899e-05
52000,1.2313,4.848484848484849e-05
52500,1.2222,4.797979797979798e-05
53000,1.2294,4.7474747474747476e-05
53500,1.2197,4.696969696969697e-05
54000,1.2199,4.6464646464646464e-05
54500,1.2276,4.595959595959596e-05
55000,1.2161,4.545454545454546e-05
55500,1.2333,4.494949494949495e-05
56000,1.2072,4.4444444444444447e-05
56500,1.2236,4.3939393939393944e-05
57000,1.2211,4.343434343434344e-05
57500,1.2281,4.292929292929293e-05
58000,1.2046,4.242424242424243e-05
58500,1.2124,4.191919191919192e-05
59000,1.2242,4.141414141414142e-05
